activity_date_utc,bid_count,dogs_with_bids,unique_bidders,first_block,last_block,confidence
2025-07-23,12,2,6,26103098,26106255,verified_onchain
2025-07-24,4,2,3,26106611,26109244,verified_onchain
2025-07-25,4,2,3,26111317,26112314,verified_onchain
2025-07-26,15,2,6,26113837,26115480,verified_onchain
2025-07-27,9,2,3,26115589,26118516,verified_onchain
2025-07-28,11,2,5,26118653,26122300,verified_onchain
2025-07-29,13,1,5,26122356,26126138,verified_onchain
2025-07-30,6,1,3,26126184,26129461,verified_onchain
2025-07-31,10,1,5,26129765,26132655,verified_onchain
2025-08-01,12,2,4,26133131,26135520,verified_onchain
2025-08-02,7,1,3,26136704,26138205,verified_onchain
2025-08-03,4,2,4,26139257,26140513,verified_onchain
2025-08-04,5,2,3,26142223,26144489,verified_onchain
2025-08-05,17,1,4,26146057,26149543,verified_onchain
2025-08-06,12,2,6,26150152,26152935,verified_onchain
2025-08-07,14,2,5,26153283,26155339,verified_onchain
2025-08-08,11,2,3,26156424,26159278,verified_onchain
2025-08-09,10,2,3,26159519,26161699,verified_onchain
2025-08-10,4,2,3,26162683,26164419,verified_onchain
2025-08-11,4,2,3,26165705,26167221,verified_onchain
2025-08-12,18,2,2,26169119,26170082,verified_onchain
2025-08-13,4,1,2,26173585,26175410,verified_onchain
2025-08-14,25,2,4,26175869,26178187,verified_onchain
2025-08-15,15,2,6,26179343,26181869,verified_onchain
2025-08-16,7,2,3,26182759,26184817,verified_onchain
2025-08-17,9,2,4,26185176,26186619,verified_onchain
2025-08-18,8,2,2,26188952,26189110,verified_onchain
2025-08-19,2,1,2,26192438,26192471,verified_onchain
2025-08-20,2,1,2,26195766,26195780,verified_onchain
2025-08-21,2,1,2,26198562,26199505,verified_onchain
2025-08-22,3,2,3,26201407,26201731,verified_onchain
2025-08-23,2,1,2,26204576,26204591,verified_onchain
2025-08-24,5,2,3,26206339,26207504,verified_onchain
2025-08-25,2,1,2,26210459,26210570,verified_onchain
2025-08-26,2,1,2,26213844,26213864,verified_onchain
2025-08-27,3,1,2,26217755,26217815,verified_onchain
2025-08-29,4,1,2,26223026,26225516,verified_onchain
2025-08-30,3,2,2,26226218,26227123,verified_onchain
2025-08-31,2,1,2,26229400,26230154,verified_onchain
2025-09-01,2,1,2,26232058,26232736,verified_onchain
2025-09-03,3,1,3,26235107,26235796,verified_onchain
2025-09-04,2,1,2,26238004,26238067,verified_onchain
2025-09-05,11,2,2,26239591,26239657,verified_onchain
2025-09-06,7,1,5,26241529,26242488,verified_onchain
2025-09-07,2,2,2,26243400,26243564,verified_onchain
2025-09-08,1,1,1,26245317,26245317,verified_onchain
2025-09-09,3,2,3,26247168,26247248,verified_onchain
2025-09-10,1,1,1,26249000,26249000,verified_onchain
2025-09-11,1,1,1,26250499,26250499,verified_onchain
2025-09-12,1,1,1,26252122,26252122,verified_onchain
2025-09-13,2,1,2,26253902,26254404,verified_onchain
2025-09-14,1,1,1,26255466,26255466,verified_onchain
2025-09-15,2,1,2,26257268,26257304,verified_onchain
2025-09-16,6,2,4,26258749,26259748,verified_onchain
2025-09-17,3,2,3,26261153,26261344,verified_onchain
2025-09-18,1,1,1,26263404,26263404,verified_onchain
2025-09-19,2,2,1,26265003,26265016,verified_onchain
2025-09-20,4,2,2,26265105,26266517,verified_onchain
2025-09-21,2,2,1,26267207,26267959,verified_onchain
2025-09-22,3,2,2,26267980,26269832,verified_onchain
2025-09-23,1,1,1,26271522,26271522,verified_onchain
2025-09-24,3,1,2,26271597,26273169,verified_onchain
2025-09-25,3,2,2,26273218,26273247,verified_onchain
2025-09-26,2,1,2,26275306,26276920,verified_onchain
2025-09-27,3,1,2,26277063,26278561,verified_onchain
2025-09-28,2,1,2,26278632,26278637,verified_onchain
2025-09-29,2,1,2,26280407,26282005,verified_onchain
2025-09-30,1,1,1,26282141,26282141,verified_onchain
2025-10-01,1,1,1,26284187,26284187,verified_onchain
2025-10-02,1,1,1,26286599,26286599,verified_onchain
2025-10-03,4,1,2,26288341,26288570,verified_onchain
2025-10-04,3,2,3,26290058,26290083,verified_onchain
2025-10-05,1,1,1,26291809,26291809,verified_onchain
2025-10-06,1,1,1,26293494,26293494,verified_onchain
2025-10-08,1,1,1,26296829,26296829,verified_onchain
2025-10-13,2,1,2,26316522,26316585,verified_onchain
2025-10-14,1,1,1,26323383,26323383,verified_onchain
2025-10-17,1,1,1,26339520,26339520,verified_onchain
2025-10-18,2,2,2,26343893,26344618,verified_onchain
2025-10-19,1,1,1,26348937,26348937,verified_onchain
2025-10-20,2,1,2,26354406,26354415,verified_onchain
2025-10-21,2,1,2,26360761,26360940,verified_onchain
2025-10-22,1,1,1,26366023,26366023,verified_onchain
2025-10-23,4,1,2,26371201,26376238,verified_onchain
2025-10-24,6,2,3,26376789,26379934,verified_onchain
2025-10-25,1,1,1,26380314,26380314,verified_onchain
2025-10-26,1,1,1,26386059,26386059,verified_onchain
2025-10-27,2,1,2,26391345,26391884,verified_onchain
2025-10-28,3,1,2,26396150,26397431,verified_onchain
2025-10-29,1,1,1,26400177,26400177,verified_onchain
2025-10-30,3,1,3,26402581,26402651,verified_onchain
2025-10-31,2,1,2,26407842,26409233,verified_onchain
2025-11-01,2,1,2,26411347,26412508,verified_onchain
2025-11-02,2,1,2,26418784,26418790,verified_onchain
2025-11-04,1,1,1,26425767,26425767,verified_onchain
2025-11-06,1,1,1,26435413,26435413,verified_onchain
2025-11-07,1,1,1,26435450,26435450,verified_onchain
2025-11-08,3,1,3,26440109,26444687,verified_onchain
2025-11-09,1,1,1,26445187,26445187,verified_onchain
2025-11-10,1,1,1,26450234,26450234,verified_onchain
2025-11-11,2,1,2,26455103,26456107,verified_onchain
2025-11-12,3,2,2,26459259,26462481,verified_onchain
2025-11-13,5,2,3,26464389,26467413,verified_onchain
2025-11-14,4,2,2,26469635,26469665,verified_onchain
2025-11-15,14,2,6,26475090,26478393,verified_onchain
2025-11-16,3,2,2,26478773,26480468,verified_onchain
2025-11-17,5,2,4,26482448,26484477,verified_onchain
2025-11-18,4,2,4,26485285,26486631,verified_onchain
2025-11-19,15,2,5,26488701,26490783,verified_onchain
2025-11-20,11,2,5,26493285,26497293,verified_onchain
2025-11-21,11,2,4,26497713,26502727,verified_onchain
2025-11-22,14,2,5,26502983,26503823,verified_onchain
2025-11-23,15,2,3,26507372,26510237,verified_onchain
2025-11-24,4,1,3,26512418,26513467,verified_onchain
2025-11-25,7,2,4,26516073,26517996,verified_onchain
2025-11-26,6,2,3,26519661,26519798,verified_onchain
2025-11-27,8,2,4,26523590,26524228,verified_onchain
2025-11-28,4,2,3,26527685,26527741,verified_onchain
2025-11-29,1,1,1,26530589,26530589,verified_onchain
2025-11-30,5,2,4,26534339,26537339,verified_onchain
2025-12-01,4,2,3,26538065,26538664,verified_onchain
2025-12-02,3,2,3,26540801,26541270,verified_onchain
2025-12-03,7,2,5,26544599,26544916,verified_onchain
2025-12-04,5,2,4,26547878,26551733,verified_onchain
2025-12-05,3,2,2,26552658,26553152,verified_onchain
2025-12-06,3,2,3,26555091,26555281,verified_onchain
2025-12-07,3,2,2,26556112,26556394,verified_onchain
2025-12-08,16,2,6,26559690,26562947,verified_onchain
2025-12-09,3,1,3,26563920,26566988,verified_onchain
2025-12-10,3,2,2,26568213,26568272,verified_onchain
2025-12-11,2,2,2,26572552,26572787,verified_onchain
2025-12-12,8,2,3,26575762,26576362,verified_onchain
2025-12-13,4,2,3,26579469,26582868,verified_onchain
2025-12-14,8,2,3,26583758,26583793,verified_onchain
2025-12-15,1,1,1,26590436,26590436,verified_onchain
2025-12-16,3,2,2,26591118,26591673,verified_onchain
2025-12-17,2,2,2,26594828,26595064,verified_onchain
2025-12-18,11,2,5,26596091,26597997,verified_onchain
2025-12-19,5,2,4,26598652,26598907,verified_onchain
2025-12-20,5,2,4,26600153,26600661,verified_onchain
2025-12-21,6,2,4,26601191,26602185,verified_onchain
2025-12-22,9,2,3,26602578,26603569,verified_onchain
2025-12-23,4,2,3,26603701,26604018,verified_onchain
2025-12-24,5,2,5,26605166,26606081,verified_onchain
2025-12-25,2,2,2,26606420,26606554,verified_onchain
2025-12-26,4,1,3,26607889,26608019,verified_onchain
2025-12-27,6,2,4,26608873,26609431,verified_onchain
2025-12-28,5,2,3,26610068,26610221,verified_onchain
2025-12-29,4,2,3,26610813,26611714,verified_onchain
2025-12-30,4,1,3,26612435,26612550,verified_onchain
2025-12-31,4,1,2,26613436,26613778,verified_onchain
2026-01-01,5,2,4,26614941,26615673,verified_onchain
2026-01-02,1,1,1,26616148,26616148,verified_onchain
2026-01-03,4,2,3,26617177,26617596,verified_onchain
2026-01-04,1,1,1,26619097,26619097,verified_onchain
2026-01-05,5,1,2,26620725,26621591,verified_onchain
