bid_time_utc,token_id,bidder,bidder_url,bidder_wallet,bid,bid_eth,bid_usd,extended,block_number,tx_hash
2026-05-17 18:42:49,717,@staraptor.eth,https://farcaster.xyz/staraptor.eth,0x3516006709b775e01b48dfb5fad355a4e793e347,0.01600 ETH ($34),0.016,33.78,0,46127011,0xde65ea8a05f4cab7082abbd218f30a474bf2f93cfff9a184eed60edc31378923
2026-05-17 18:17:19,717,@skunkape,https://farcaster.xyz/skunkape,0xca0edb47a8c9ef04dc2368946f46fb3d7c1a3202,0.01430 ETH ($30),0.0143,30.19,0,46126246,0x258adeda00e0443161690a9deb7d07d42b09f8c35f61bc12302721515182e1bb
2026-05-17 16:42:57,717,@staraptor.eth,https://farcaster.xyz/staraptor.eth,0x3516006709b775e01b48dfb5fad355a4e793e347,0.01300 ETH ($27),0.013,27.44,0,46123415,0x05cd9688e855e9746518e1ee0741fae2161f66cf0b379e6838d3fa3f0accf003
2026-05-17 04:01:47,717,@monicacline,https://farcaster.xyz/monicacline,0x021f6491c31ee6ecd0a840e8e5c562f5c555261d,0.01000 ETH ($21),0.01,21.11,0,46100580,0xe1a1c479459a37dbe480bf4820c2131603e294180aa6502e75b4af3c97509ca1
2026-05-17 04:01:25,717,@aliyaindah,https://farcaster.xyz/aliyaindah,0x182a4e4759e9f841682dc7d89b5cccd6ccb6a82d,0.00050 ETH ($1),0.0005,1.06,0,46100569,0x12db753ee98f938ea70a9954f44a2dfea9d32622a7d883f17efbcba72824140e
2026-05-17 03:50:17,716,@cryptomill,https://farcaster.xyz/cryptomill,0x71ce5605ab649d97446ef179bc2983b18ddc9a48,0.01866 ETH ($39),0.01866,39.39,1,46100235,0x6022f24cab161657743e2d2780935f48aee015a77ad65c8a94c5079f67c6cad6
2026-05-17 02:14:43,716,@monicacline,https://farcaster.xyz/monicacline,0x021f6491c31ee6ecd0a840e8e5c562f5c555261d,0.01696 ETH ($36),0.01696,35.81,0,46097368,0x4add46af53b0620dde6dddfd081012c3bf687632213f8d309486b86be26dfb6d
2026-05-17 02:06:41,716,@staraptor.eth,https://farcaster.xyz/staraptor.eth,0x3516006709b775e01b48dfb5fad355a4e793e347,0.01541 ETH ($33),0.01541,32.53,0,46097127,0xd7321869bb97140952b78d9be614fe4e9f6e41cbcd1e28aa75e67149485daa50
2026-05-17 01:42:21,716,@skunkape,https://farcaster.xyz/skunkape,0xca0edb47a8c9ef04dc2368946f46fb3d7c1a3202,0.01400 ETH ($30),0.014,29.56,0,46096397,0x8980a49907061d31d7b1d706ccb4af882c5e176c0f4b733f6615c5c376f16d40
2026-05-17 00:47:31,716,@staraptor.eth,https://farcaster.xyz/staraptor.eth,0x3516006709b775e01b48dfb5fad355a4e793e347,0.01210 ETH ($26),0.0121,25.54,0,46094752,0x2320e2890e4f2713e56f7a5e190c5ec2d95387e62a66c3bfd4c27eac8c03201e
