token_id,end_time_utc,block_number,tx_hash,log_index
613,2026-02-02 03:01:05,41605809,0xf5c9d80004db3a7c37c391e4994fd72f585bb364c30f0680d8fef4b53586f591,831
613,2026-02-02 03:02:01,41605837,0x13beee17c81f1cd81565f3be6c9ecad18749e2ff9c25df3fa5f8ab21d85563e5,163
613,2026-02-02 03:02:37,41605855,0xc63615887a8dab2ea4981607b15ff59e75c5318803efe100206aac75a1610e3e,881
613,2026-02-02 03:04:17,41605905,0xbd7d7187df8bd0d7537c8aa6686c5886aba3d3156a7c42be807e0246333e3bc6,291
613,2026-02-02 03:04:51,41605922,0x293cf8956ca9a3c276d1bd219b84ffb7831c40d73acdf51f89b39769539ac073,242
613,2026-02-02 03:05:31,41605942,0x2feb3e17bd06b9e2b5939d6363b071b52862410e3163120acc6c6c541e324e69,1187
613,2026-02-02 03:06:07,41605960,0x1a48641b7c716745257b1bc6c32f55f3e18146b859b72dc370399ba1246c68a5,270
614,2026-02-03 03:10:57,41649305,0x2c6ae98948d12ec58dbfdcdcc7fdfb8bb2c1d38f5972f6a0f2b6ea28e39a6e15,593
614,2026-02-03 03:14:25,41649409,0x14edd48ff966c9ebc9e0ab7aa71aac1f48b8b80ec13865571f7a3892b2df1972,1123
614,2026-02-03 03:18:57,41649545,0x2a3603a3fa7790d88177a96e64c76007b69e4d30b73440c5f2c5e43793e01ce5,200
614,2026-02-03 03:21:47,41649630,0x75d7f924b1f697c91ee0215d646177b9a89617d12530e73babd7d0480e90a3a4,884
615,2026-02-04 03:25:59,41692956,0x393311a919eb2c9df14978bf9865278bcc585b06be6f9fe71a285c425573a2d8,642
615,2026-02-04 03:26:19,41692966,0x91fe7ac5abcf178e1326e5d111a6ed80e3a824cf8d553774cbaf5ee5ad80d4eb,924
615,2026-02-04 03:27:43,41693008,0x403b75c26baf9a68cde624a12ca4d27ff3c93a01542466227cbf59d67eaa871f,995
615,2026-02-04 03:29:15,41693054,0x635de17371536e44eb1452bf12a4444511b36c91ee704f2b316a353a04e5a19d,955
